"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","94.0000mm","-62.0000mm","0.00","Top"
"C2","70.0000mm","-66.0000mm","0.00","Top"
"C3","108.0000mm","-65.0000mm","0.00","Top"
"C4","98.0000mm","-28.0000mm","0.00","Top"
"C5","98.0000mm","-49.0000mm","0.00","Top"
"J_AMP_PWR","108.0000mm","-55.0000mm","90.00","Top"
"J_AMP_SIG","108.0000mm","-42.0000mm","90.00","Top"
"J_DOOR_AB","14.0000mm","-53.0000mm","90.00","Top"
"J_DOOR_BC","14.0000mm","-64.0000mm","90.00","Top"
"J_EXEC","95.0000mm","-15.0000mm","0.00","Top"
"J_MIC","108.0000mm","-26.0000mm","90.00","Top"
"J_PCA_OE","61.0000mm","-75.0000mm","0.00","Top"
"J_PWR_LOGIC","82.0000mm","-75.0000mm","0.00","Top"
"J_PWR_SERVO","105.0000mm","-75.0000mm","0.00","Top"
"J_SERVO_5V_OUT","94.0000mm","-75.0000mm","0.00","Top"
"J_SERVO_CTRL","47.0000mm","-75.0000mm","0.00","Top"
"J_SOLIST","24.0000mm","-53.0000mm","0.00","Top"
"J_STAMP_17","68.6200mm","-11.8400mm","0.00","Top"
"J_STAMP_6","53.3800mm","-19.4600mm","0.00","Top"
"J_TFT_PWR","40.0000mm","-20.0000mm","0.00","Top"
"J_TFT_SIG","24.0000mm","-15.0000mm","0.00","Top"
"J_WIN_A","14.0000mm","-23.0000mm","90.00","Top"
"J_WIN_B","14.0000mm","-33.0000mm","90.00","Top"
"J_WIN_C","14.0000mm","-43.0000mm","90.00","Top"
"JP_STAMP_5V","84.0000mm","-63.0000mm","0.00","Top"
"R1","79.0000mm","-18.0000mm","0.00","Top"
"R2","79.0000mm","-24.0000mm","0.00","Top"
"R3","79.0000mm","-30.0000mm","0.00","Top"
"R4","79.0000mm","-36.0000mm","0.00","Top"
"R5","79.0000mm","-44.0000mm","0.00","Top"
"R6","79.0000mm","-52.0000mm","0.00","Top"
"R7","79.0000mm","-58.0000mm","0.00","Top"
"R8","43.0000mm","-65.0000mm","0.00","Top"
"R9","30.0000mm","-26.0000mm","0.00","Top"
