Comment,Designator,Footprint,Supplier Part,Supplier URL,Manufacturer Part,Qty,Notes
Stamp left-row carrier socket,J_STAMP_17,PinSocket_1x17_P1.27mm_Vertical,"Akizuki 103866",https://akizukidenshi.com/catalog/g/g103866/,2200SA-20G-34,1,"Cut 1x20 to 17 only after trial; top-side socket"
Stamp left-row module header,OFFBOARD_STAMP_MALE_17,N/A,"Akizuki 103865",https://akizukidenshi.com/catalog/g/g103865/,2199SA-40G-3015-23,1,"Cut to 17; hand solder to Stamp"
Stamp right-row carrier socket,J_STAMP_6,PinSocket_1x06_P2.54mm_Vertical,"Akizuki 110073",https://akizukidenshi.com/catalog/g/g110073/,FH2.54-40U1GF8.5-0.5,1,"Cut to 6; verify fit"
Stamp module,OFFBOARD_STAMP,N/A,M5Stack S007-V033,,S007-V033,1,User fitted
Solist mating socket,J_SOLIST,PinSocket_2x07_P2.54mm_Vertical,"Akizuki 100169",https://akizukidenshi.com/catalog/g/g100169/,FH-2X7SG,1,"Hand solder; confirm mating gender, pin 1 and finished-hole fit"
JST XH 2P,"J_WIN_A J_WIN_B J_WIN_C J_DOOR_AB J_DOOR_BC J_EXEC J_PCA_OE J_SERVO_5V_OUT J_PWR_LOGIC J_PWR_SERVO",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,"Akizuki 112247",https://akizukidenshi.com/catalog/g/g112247/,B2B-XH-A,10,Genuine JST XH
JST XH 3P,J_AMP_PWR,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Akizuki 112248",https://akizukidenshi.com/catalog/g/g112248/,B3B-XH-A,1,Genuine JST XH
JST XH 4P,"J_AMP_SIG J_TFT_PWR J_SERVO_CTRL",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,"Akizuki 112249",https://akizukidenshi.com/catalog/g/g112249/,B4B-XH-A,3,Genuine JST XH
JST XH 5P,J_TFT_SIG,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,"Akizuki 112250",https://akizukidenshi.com/catalog/g/g112250/,B5B-XH-A,1,Genuine JST XH
JST XH 6P,J_MIC,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Akizuki 112251",https://akizukidenshi.com/catalog/g/g112251/,B6B-XH-A,1,Genuine JST XH
33 ohm 1%,"R1 R2 R3 R4 R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"Akizuki 108517",https://akizukidenshi.com/catalog/g/g108517/,MFS25F33RB,5,"Form leads to 10.16 mm pitch; body is smaller than footprint"
10 kohm 1%,"R6 R8 R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"Akizuki 108550",https://akizukidenshi.com/catalog/g/g108550/,MFS25F10KB,3,"Form leads to 10.16 mm pitch; body is smaller than footprint"
100 kohm 1%,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"Akizuki 108563",https://akizukidenshi.com/catalog/g/g108563/,MFS25F100KB,1,"Form leads to 10.16 mm pitch; body is smaller than footprint"
100 nF ceramic,"C2 C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,"Akizuki 117059",https://akizukidenshi.com/catalog/g/g117059/,RDE5C1H104J2K1H03B,2,"P5 fits; actual 5.5 x 3.15 mm body is slightly larger than drawn footprint"
470 uF 16V,C1,CP_Radial_D10.0mm_P5.00mm,"Akizuki 108292",https://akizukidenshi.com/catalog/g/g108292/,16SEPC470M,1,"D10 P5; observe polarity"
1000 uF 50V,C3,CP_Radial_D12.5mm_P5.00mm,"Akizuki 113081",https://akizukidenshi.com/catalog/g/g113081/,50PX1000MEFC12.5X25,1,"D12.5 P5 H25; observe polarity and verify enclosure height"
10 uF 50V,C5,CP_Radial_D5.0mm_P2.00mm,"Akizuki 117897",https://akizukidenshi.com/catalog/g/g117897/,50PX10MEFC5X11,1,"D5 P2; observe polarity"
2P jumper header,JP_STAMP_5V,PinHeader_1x02_P2.54mm_Vertical,"Akizuki 108593",https://akizukidenshi.com/catalog/g/g108593/,PH-1X2SG,1,"Default OPEN; fit shunt only after power check"
2.54 mm jumper shunt,OFFBOARD_JP_STAMP_5V_SHUNT,N/A,"Akizuki 103687",https://akizukidenshi.com/catalog/g/g103687/,MJ-254-6BK,1,"Keep off JP_STAMP_5V by default"
M3 mounting hole,"H1 H2 H3 H4",MountingHole_3.2mm_M3,,,,4,No part
